ID,Frame ID,Timecourse ID,Stomat ID,Genotype,Treatment,Total Fluorescence
116,c,0,4,Col.Ler,Treatment_A,408575.427
116,c,10,4,Col.Ler,Treatment_A,735945.7608
116,c,20,4,Col.Ler,Treatment_A,825304.4348
116,c,30,4,Col.Ler,Treatment_A,500293.02
117,d,0,1,Col.Ler,Treatment_A,427414.3288
117,d,10,1,Col.Ler,Treatment_A,364383.7756
117,d,20,1,Col.Ler,Treatment_A,324283.2716
117,d,30,1,Col.Ler,Treatment_A,608558.3728
118,d,0,2,Col.Ler,Treatment_A,523251.3896
118,d,10,2,Col.Ler,Treatment_A,829107.7852
118,d,20,2,Col.Ler,Treatment_A,917746.2172
118,d,30,2,Col.Ler,Treatment_A,823021.1376
119,d,0,3,Col.Ler,Treatment_A,412410.2512
119,d,10,3,Col.Ler,Treatment_A,819256.9344
119,d,20,3,Col.Ler,Treatment_A,1037956.038
119,d,30,3,Col.Ler,Treatment_A,906625.1072
120,d,0,4,Col.Ler,Treatment_A,462528.9856
120,d,10,4,Col.Ler,Treatment_A,249779.7872
120,d,20,4,Col.Ler,Treatment_A,221538.5392
120,d,30,4,Col.Ler,Treatment_A,792644.7136
121,d,0,5,Col.Ler,Treatment_A,403586.0352
121,d,10,5,Col.Ler,Treatment_A,576183.1256
121,d,20,5,Col.Ler,Treatment_A,790126.3972
121,d,30,5,Col.Ler,Treatment_A,597134.6832
122,e,0,1,Col.Ler,Treatment_A,302890.797
122,e,10,1,Col.Ler,Treatment_A,227345.144
122,e,20,1,Col.Ler,Treatment_A,159178.1
122,e,30,1,Col.Ler,Treatment_A,808778.25
123,e,0,2,Col.Ler,Treatment_A,535946.6168
123,e,10,2,Col.Ler,Treatment_A,483335.7536
123,e,20,2,Col.Ler,Treatment_A,423747.6672
123,e,30,2,Col.Ler,Treatment_A,874333.764
124,e,0,3,Col.Ler,Treatment_A,436246.0646
124,e,10,3,Col.Ler,Treatment_A,503794.8192
124,e,20,3,Col.Ler,Treatment_A,488667.4084
124,e,30,3,Col.Ler,Treatment_A,406033.033
125,e,0,4,Col.Ler,Treatment_A,505397.403
125,e,10,4,Col.Ler,Treatment_A,531967.256
125,e,20,4,Col.Ler,Treatment_A,570184.362
125,e,30,4,Col.Ler,Treatment_A,653340.565
126,e,0,5,Col.Ler,Treatment_A,425440.0902
126,e,10,5,Col.Ler,Treatment_A,455247.7104
126,e,20,5,Col.Ler,Treatment_A,658365.9108
126,e,30,5,Col.Ler,Treatment_A,829164.721
127,a,0,1,o,Treatment_A,379175.822
127,a,10,1,o,Treatment_A,161267.31
127,a,20,1,o,Treatment_A,137629.1
127,a,30,1,o,Treatment_A,523943.116
128,a,0,2,o,Treatment_A,332354.6184
128,a,10,2,o,Treatment_A,238210.0544
128,a,20,2,o,Treatment_A,271521.6688
128,a,30,2,o,Treatment_A,525304.0458
129,a,0,3,o,Treatment_A,125019.169
129,a,10,3,o,Treatment_A,40633.745
129,a,20,3,o,Treatment_A,68779.45
129,a,30,3,o,Treatment_A,368065.682
130,a,0,4,o,Treatment_A,374739.2631
130,a,10,4,o,Treatment_A,197514.0031
130,a,20,4,o,Treatment_A,228419.4063
